message,label,cleaned_message
Payment taken multiple times! kindly resolve,2,payment take multiple time kindly resolve
Serious complaint: wrong person received my order and details!!!!,2,serious complaint wrong person receive order detail
Need help with changing my address.,1,need help change address
Urgent: money deducted but order failed! please help,2,urgent money deduct order fail please help
Your staff was polite. please help,0,staff polite please help
Your staff was polite. asap,0,staff polite asap
Urgent: money deducted but order failed! asap,2,urgent money deduct order fail asap
Immediate help needed: account locked with balance inside!,2,immediate help need account lock balance inside
Unauthorized payment from my card! please help,2,unauthorized payment card please help
Your staff was polite. kindly resolve,0,staff polite kindly resolve
Prices seem reasonable. please help,0,price seem reasonable please help
Tracking info is not updating.!!!,1,tracking info not update
Urgent: money deducted but order failed!!!!,2,urgent money deduct order fail
Immediate help needed: account locked with balance inside! kindly resolve,2,immediate help need account lock balance inside kindly resolve
Prices seem reasonable. kindly resolve,0,price seem reasonable kindly resolve
Unauthorized payment from my card! please help,2,unauthorized payment card please help
My account has been hacked! please help,2,account hack please help
I like your service. please help,0,like service please help
Tracking info is not updating.!!!,1,tracking info not update
Critical: scam activity on my profile! asap,2,critical scam activity profile asap
I like your service.,0,like service
General feedback on your website. kindly resolve,0,general feedback website kindly resolve
Tracking info is not updating. kindly resolve,1,tracking info not update kindly resolve
Prices seem reasonable. kindly resolve,0,price seem reasonable kindly resolve
I like your service.!!!,0,like service
Tracking info is not updating.,1,tracking info not update
Need help with changing my address.!!!,1,need help change address
Sharing a suggestion for improvement. please help,0,share suggestion improvement please help
Need help with changing my address.!!!,1,need help change address
Urgent: money deducted but order failed!,2,urgent money deduct order fail
Received a damaged package.!!!,1,receive damage package
Unauthorized payment from my card! asap,2,unauthorized payment card asap
Need help with changing my address. kindly resolve,1,need help change address kindly resolve
Just giving feedback about the UI. please help,0,give feedback ui please help
Unable to login sometimes. asap,1,unable login sometimes asap
Urgent: money deducted but order failed! kindly resolve,2,urgent money deduct order fail kindly resolve
Coupon code is not working.!!!,1,coupon code not work
Prices seem reasonable. kindly resolve,0,price seem reasonable kindly resolve
Prices seem reasonable.!!!,0,price seem reasonable
Your staff was polite. asap,0,staff polite asap
Serious complaint: wrong person received my order and details!!!!,2,serious complaint wrong person receive order detail
Just giving feedback about the UI. asap,0,give feedback ui asap
"I was charged twice, fix this immediately!!!!",2,charge twice fix immediately
Unauthorized payment from my card!,2,unauthorized payment card
Unauthorized payment from my card! asap,2,unauthorized payment card asap
Urgent: money deducted but order failed! asap,2,urgent money deduct order fail asap
Sharing a suggestion for improvement. please help,0,share suggestion improvement please help
I have not received my refund yet. please help,1,not receive refund yet please help
Feature request: dark mode would be nice.!!!,0,feature request dark mode would nice
Coupon code is not working.,1,coupon code not work
"I was charged twice, fix this immediately! asap",2,charge twice fix immediately asap
"I was billed incorrectly, please check.!!!",1,bill incorrectly please check
Feature request: dark mode would be nice.!!!,0,feature request dark mode would nice
Prices seem reasonable.,0,price seem reasonable
Unable to login sometimes. asap,1,unable login sometimes asap
Immediate help needed: account locked with balance inside!,2,immediate help need account lock balance inside
Fraud transaction detected on my account! asap,2,fraud transaction detect account asap
Received a damaged package. kindly resolve,1,receive damage package kindly resolve
"I was charged twice, fix this immediately!!!!",2,charge twice fix immediately
I have not received my refund yet. please help,1,not receive refund yet please help
Just giving feedback about the UI. please help,0,give feedback ui please help
The new update is nice. please help,0,new update nice please help
Unauthorized payment from my card! kindly resolve,2,unauthorized payment card kindly resolve
Serious complaint: wrong person received my order and details!!!!,2,serious complaint wrong person receive order detail
Coupon code is not working.!!!,1,coupon code not work
Feature request: dark mode would be nice. please help,0,feature request dark mode would nice please help
Feature request: dark mode would be nice. please help,0,feature request dark mode would nice please help
I have not received my refund yet. kindly resolve,1,not receive refund yet kindly resolve
Order arrived late. asap,1,order arrive late asap
Need help with changing my address.,1,need help change address
Data privacy issue — my info is visible to others!,2,datum privacy issue info visible other
General feedback on your website.,0,general feedback website
Sharing a suggestion for improvement. kindly resolve,0,share suggestion improvement kindly resolve
Serious complaint: wrong person received my order and details! please help,2,serious complaint wrong person receive order detail please help
The app looks good.,0,app look good
Payment confirmation is pending. please help,1,payment confirmation pende please help
"I was billed incorrectly, please check. kindly resolve",1,bill incorrectly please check kindly resolve
Need help with changing my address. kindly resolve,1,need help change address kindly resolve
My account has been hacked!,2,account hack
Urgent: money deducted but order failed! asap,2,urgent money deduct order fail asap
Fraud transaction detected on my account! please help,2,fraud transaction detect account please help
"I was charged twice, fix this immediately! asap",2,charge twice fix immediately asap
Prices seem reasonable.!!!,0,price seem reasonable
"I was billed incorrectly, please check. asap",1,bill incorrectly please check asap
My account has been hacked! kindly resolve,2,account hack kindly resolve
My account has been hacked! please help,2,account hack please help
Coupon code is not working. please help,1,coupon code not work please help
Sharing a suggestion for improvement. asap,0,share suggestion improvement asap
Coupon code is not working.!!!,1,coupon code not work
The new update is nice. kindly resolve,0,new update nice kindly resolve
Urgent: money deducted but order failed! kindly resolve,2,urgent money deduct order fail kindly resolve
"I was charged twice, fix this immediately!",2,charge twice fix immediately
Order arrived late.!!!,1,order arrive late
I like your service. kindly resolve,0,like service kindly resolve
Unauthorized payment from my card!,2,unauthorized payment card
Need help with changing my address.,1,need help change address
Unable to login sometimes.,1,unable login sometimes
I like your service.,0,like service
Fraud transaction detected on my account! please help,2,fraud transaction detect account please help
Data privacy issue — my info is visible to others! kindly resolve,2,datum privacy issue info visible other kindly resolve
Sharing a suggestion for improvement. kindly resolve,0,share suggestion improvement kindly resolve
Coupon code is not working. please help,1,coupon code not work please help
Unauthorized payment from my card!,2,unauthorized payment card
Need help with changing my address.,1,need help change address
Payment taken multiple times!,2,payment take multiple time
The new update is nice.,0,new update nice
My delivery was delayed by two days. please help,1,delivery delay two day please help
Immediate help needed: account locked with balance inside!,2,immediate help need account lock balance inside
Coupon code is not working.,1,coupon code not work
General feedback on your website.,0,general feedback website
Data privacy issue — my info is visible to others!,2,datum privacy issue info visible other
I have not received my refund yet.!!!,1,not receive refund yet
Payment taken multiple times!,2,payment take multiple time
I like your service. please help,0,like service please help
Need help with changing my address. asap,1,need help change address asap
Overall experience was okay. asap,0,overall experience okay asap
Prices seem reasonable.!!!,0,price seem reasonable
Tracking info is not updating.,1,tracking info not update
Feature request: dark mode would be nice. kindly resolve,0,feature request dark mode would nice kindly resolve
Feature request: dark mode would be nice. asap,0,feature request dark mode would nice asap
Received a damaged package.,1,receive damage package
I like your service. asap,0,like service asap
Tracking info is not updating. asap,1,tracking info not update asap
Prices seem reasonable.!!!,0,price seem reasonable
The new update is nice.,0,new update nice
I like your service.,0,like service
Coupon code is not working. asap,1,coupon code not work asap
General feedback on your website. kindly resolve,0,general feedback website kindly resolve
General feedback on your website. kindly resolve,0,general feedback website kindly resolve
I like your service.!!!,0,like service
My delivery was delayed by two days.,1,delivery delay two day
Sharing a suggestion for improvement. please help,0,share suggestion improvement please help
Prices seem reasonable. please help,0,price seem reasonable please help
Received a damaged package. asap,1,receive damage package asap
"I was charged twice, fix this immediately!!!!",2,charge twice fix immediately
My delivery was delayed by two days. please help,1,delivery delay two day please help
Data privacy issue — my info is visible to others! kindly resolve,2,datum privacy issue info visible other kindly resolve
Feature request: dark mode would be nice. please help,0,feature request dark mode would nice please help
Feature request: dark mode would be nice.!!!,0,feature request dark mode would nice
Your staff was polite. kindly resolve,0,staff polite kindly resolve
Payment taken multiple times!,2,payment take multiple time
Serious complaint: wrong person received my order and details! please help,2,serious complaint wrong person receive order detail please help
Overall experience was okay. kindly resolve,0,overall experience okay kindly resolve
I like your service.,0,like service
Need help with changing my address. kindly resolve,1,need help change address kindly resolve
My delivery was delayed by two days. kindly resolve,1,delivery delay two day kindly resolve
I like your service. asap,0,like service asap
Urgent: money deducted but order failed!,2,urgent money deduct order fail
Overall experience was okay. asap,0,overall experience okay asap
Data privacy issue — my info is visible to others!,2,datum privacy issue info visible other
I have not received my refund yet.,1,not receive refund yet
Data privacy issue — my info is visible to others!,2,datum privacy issue info visible other
My delivery was delayed by two days.,1,delivery delay two day
Overall experience was okay.,0,overall experience okay
My delivery was delayed by two days. kindly resolve,1,delivery delay two day kindly resolve
Feature request: dark mode would be nice. kindly resolve,0,feature request dark mode would nice kindly resolve
Prices seem reasonable.!!!,0,price seem reasonable
Sharing a suggestion for improvement. asap,0,share suggestion improvement asap
Payment confirmation is pending. please help,1,payment confirmation pende please help
Payment taken multiple times!,2,payment take multiple time
Need help with changing my address. please help,1,need help change address please help
Feature request: dark mode would be nice. please help,0,feature request dark mode would nice please help
